DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2014.02.20,06:40,3641.25000,3641.25000,3639.75000,3640.25000,41
2014.02.20,06:45,3640.00000,3640.25000,3639.75000,3640.00000,32
2014.02.20,06:50,3639.75000,3641.25000,3639.75000,3641.25000,25
2014.02.20,06:55,3641.00000,3643.00000,3641.00000,3643.00000,16
2014.02.20,07:00,3643.25000,3643.50000,3641.75000,3642.50000,46
2014.02.20,07:05,3642.50000,3643.25000,3641.50000,3642.25000,32
2014.02.20,07:10,3642.00000,3643.25000,3641.50000,3642.50000,32
2014.02.20,07:15,3642.50000,3643.50000,3642.50000,3643.25000,35
2014.02.20,07:20,3643.25000,3643.75000,3643.00000,3643.25000,23
2014.02.20,07:25,3643.50000,3643.50000,3641.75000,3642.75000,27
2014.02.20,07:30,3643.00000,3643.75000,3642.25000,3643.50000,13
2014.02.20,07:35,3643.50000,3643.50000,3641.75000,3642.50000,20
2014.02.20,07:40,3642.50000,3643.75000,3642.50000,3643.25000,28
2014.02.20,07:45,3643.25000,3643.75000,3642.50000,3643.00000,28
2014.02.20,07:50,3643.25000,3643.25000,3641.75000,3643.00000,51
2014.02.20,07:55,3643.00000,3643.00000,3641.50000,3642.25000,42
2014.02.20,08:00,3642.00000,3642.25000,3641.00000,3641.25000,35
2014.02.20,08:05,3641.50000,3641.75000,3639.75000,3640.50000,37
2014.02.20,08:10,3640.50000,3640.50000,3640.00000,3640.25000,30
2014.02.20,08:15,3640.50000,3641.25000,3640.50000,3640.75000,27
2014.02.20,08:20,3640.50000,3641.25000,3640.50000,3641.25000,18
2014.02.20,08:25,3641.50000,3641.50000,3640.50000,3641.00000,23
2014.02.20,08:30,3640.75000,3640.75000,3639.50000,3640.50000,25
2014.02.20,08:35,3641.00000,3641.00000,3640.00000,3640.75000,23
2014.02.20,08:40,3641.25000,3642.25000,3640.75000,3642.25000,31
2014.02.20,08:45,3642.25000,3642.25000,3641.75000,3642.25000,25
2014.02.20,08:50,3642.25000,3645.00000,3642.25000,3644.75000,43
2014.02.20,08:55,3644.25000,3644.75000,3644.00000,3644.75000,17
2014.02.20,09:00,3644.75000,3645.50000,3644.00000,3645.50000,47
2014.02.20,09:05,3645.75000,3646.75000,3645.75000,3646.25000,29
2014.02.20,09:10,3646.50000,3647.00000,3646.00000,3646.75000,22
2014.02.20,09:15,3646.50000,3647.00000,3646.25000,3646.75000,18
2014.02.20,09:20,3646.50000,3647.25000,3646.25000,3646.50000,38
2014.02.20,09:25,3646.75000,3647.75000,3646.75000,3647.75000,30
2014.02.20,09:30,3647.25000,3647.25000,3643.75000,3644.25000,72
2014.02.20,09:35,3643.75000,3644.25000,3643.00000,3643.75000,55
2014.02.20,09:40,3643.75000,3644.00000,3643.00000,3644.00000,28
2014.02.20,09:45,3644.00000,3645.00000,3643.50000,3644.50000,41
2014.02.20,09:50,3644.25000,3645.00000,3642.50000,3642.50000,48
2014.02.20,09:55,3642.75000,3642.75000,3639.50000,3640.75000,56
2014.02.20,10:00,3640.75000,3643.75000,3640.25000,3642.75000,159
2014.02.20,10:05,3643.25000,3643.25000,3642.00000,3642.50000,163
2014.02.20,10:10,3642.25000,3644.75000,3641.00000,3644.75000,111
2014.02.20,10:15,3644.25000,3646.75000,3644.00000,3646.50000,146
2014.02.20,10:20,3646.50000,3646.50000,3643.75000,3645.75000,101
2014.02.20,10:25,3645.25000,3646.50000,3644.50000,3646.50000,89
2014.02.20,10:30,3646.50000,3648.25000,3646.25000,3648.00000,89
2014.02.20,10:35,3647.75000,3650.25000,3647.75000,3649.50000,110
2014.02.20,10:40,3649.25000,3649.25000,3648.00000,3648.50000,73
2014.02.20,10:45,3648.50000,3648.50000,3647.75000,3648.00000,50
2014.02.20,10:50,3648.25000,3649.25000,3648.25000,3648.75000,63
2014.02.20,10:55,3649.00000,3649.25000,3647.75000,3648.00000,62
2014.02.20,11:00,3647.50000,3648.75000,3647.25000,3647.75000,65
2014.02.20,11:05,3647.50000,3649.00000,3647.50000,3648.75000,61
2014.02.20,11:10,3648.75000,3648.75000,3647.25000,3647.75000,43
2014.02.20,11:15,3648.00000,3650.75000,3647.50000,3650.00000,73
2014.02.20,11:20,3651.00000,3652.00000,3650.00000,3650.25000,82
2014.02.20,11:25,3650.50000,3650.50000,3648.25000,3648.25000,39
2014.02.20,11:30,3648.25000,3648.25000,3647.75000,3648.25000,55
2014.02.20,11:35,3648.00000,3648.75000,3648.00000,3648.25000,44
2014.02.20,11:40,3648.50000,3649.25000,3648.50000,3648.75000,47
2014.02.20,11:45,3649.00000,3649.25000,3648.50000,3649.00000,45
2014.02.20,11:50,3649.25000,3651.50000,3649.00000,3650.75000,103
2014.02.20,11:55,3651.00000,3651.00000,3646.75000,3646.75000,84
2014.02.20,12:00,3647.25000,3648.00000,3646.75000,3647.25000,57
2014.02.20,12:05,3647.50000,3648.75000,3647.50000,3648.50000,61
2014.02.20,12:10,3648.50000,3648.75000,3647.75000,3647.75000,43
2014.02.20,12:15,3647.50000,3650.00000,3647.50000,3649.75000,86
