Time;Open;High;Low;Close;Volume;SMA5;SMA10;SMA20;SMA50;SMA100;SMA200;EMA5;EMA10;EMA20;EMA50;EMA100;EMA200;RSI_14;STOCH_9_16_MAIN;STOCH_9_16_SIGNAL;STOCHRSI_14;MACD_12_26_MAIN;MACD_12_26_SIGNAL;MACD_12_26_DIFF;ADX_14_MAIN;ADX_14_+D;ADX_14_-D;WILLIAM_R;CCI_14;ATR_14;HIGH_LOW_14;UO;ROC;BULL_BEAR_13
2014.02.17 10:40:00;3669;3669;3667.75;3668.5;42;3668.7;3668.03;3666.15;3662.27;3660.82;0;3668.54;3667.83;3666.27;3663.55;3661.66;3660.18;66.58;62;70.26000000000001;UNDEFINED;1.98;1.79;0.18;18.29;23.96;21.65;-38.24;47.01;1.83;UNDEFINED;UNDEFINED;100.12;UNDEFINED
2014.02.17 10:45:00;3668.5;3668.5;3667.5;3667.75;41;3668.5;3668.31;3666.29;3662.45;3660.93;0;3668.28;3667.81;3666.41;3663.72;3661.79;3660.25;61.62;54.44;68.48;UNDEFINED;1.85;1.88;-0.03;16.27;20.77;22.1;-47.06;20.26;1.84;UNDEFINED;UNDEFINED;100.11;UNDEFINED
2014.02.17 10:50:00;3668;3668;3666.75;3667.25;35;3668.15;3668.63;3666.41;3662.64;3661.03;0;3667.94;3667.71;3666.49;3663.86;3661.89;3660.32;58.5;39.74;66.13;UNDEFINED;1.69;1.92;-0.23;16.8;18;27.15;-52.94;-2.92;1.92;UNDEFINED;UNDEFINED;100.09;UNDEFINED
2014.02.17 10:55:00;3667;3667.25;3664.25;3664.25;63;3667.3;3668.3;3666.38;3662.77;3661.09;0;3666.71;3667.08;3666.28;3663.87;3661.94;3660.36;44.06;14.67;62.51;UNDEFINED;1.31;1.88;-0.57;19.61;15.6;34.64;-88.24;-114.58;2.11;UNDEFINED;UNDEFINED;100.01;UNDEFINED
2014.02.17 11:00:00;3664;3665.25;3663.5;3664;68;3666.35;3667.63;3666.36;3662.88;3661.16;0;3665.8;3666.52;3666.06;3663.88;3661.98;3660.4;43.11;6.33;58.54;UNDEFINED;0.97;1.77;-0.8;23.01;13.52;35.74;-93.94;-127.12;2.2;UNDEFINED;UNDEFINED;100.01;UNDEFINED
2014.02.17 11:05:00;3663.75;3665;3662.5;3663.25;79;3665.3;3667;3666.31;3662.97;3661.23;0;3664.95;3665.93;3665.79;3663.85;3662.01;3660.43;40.29;5.62;54.9;UNDEFINED;0.64;1.62;-0.98;26.77;11.72;36.3;-91.89;-139.15;2.29;UNDEFINED;UNDEFINED;99.95999999999999;UNDEFINED
2014.02.17 11:10:00;3663.75;3665.5;3663;3663.5;67;3664.45;3666.48;3666.27;3663.05;3661.31;0;3664.47;3665.49;3665.58;3663.84;3662.04;3660.46;41.66;10;52.12;UNDEFINED;0.39;1.43;-1.04;28.81;12.82;31.46;-89.19;-125.04;2.33;UNDEFINED;UNDEFINED;99.98;UNDEFINED
2014.02.17 11:15:00;3663.75;3664.25;3662.75;3664;54;3663.8;3665.98;3666.28;3663.13;3661.39;0;3664.31;3665.22;3665.43;3663.84;3662.07;3660.49;44.41;13.98;49.36;UNDEFINED;0.23;1.23;-1;31.01;11.11;29.49;-83.78;-87.47;2.2;UNDEFINED;UNDEFINED;99.90000000000001;UNDEFINED
2014.02.17 11:20:00;3663.75;3665.25;3663.5;3665;47;3663.95;3665.63;3666.33;3663.25;3661.46;0;3664.54;3665.18;3665.38;3663.89;3662.13;3660.54;49.53;22.73;47.34;UNDEFINED;0.18;1.03;-0.84;29.46;17.25;25.56;-72.97;-47.53;1.96;UNDEFINED;UNDEFINED;99.84;UNDEFINED
2014.02.17 11:25:00;3664.75;3665.75;3664.25;3665.5;44;3664.25;3665.3;3666.42;3663.38;3661.54;0;3664.86;3665.24;3665.4;3663.95;3662.2;3660.59;51.91;34.57;44.22;UNDEFINED;0.18;0.83;-0.64;26.42;19.39;22.15;-62.5;-25.29;1.88;UNDEFINED;UNDEFINED;99.89;UNDEFINED
2014.02.17 11:30:00;3665.5;3666.25;3665.25;3665.75;39;3664.75;3665.03;3666.53;3663.52;3661.61;0;3665.16;3665.33;3665.43;3664.02;3662.27;3660.64;53.1;48.61;41.92;UNDEFINED;0.2;0.64;-0.44;24.23;23.47;19.2;-58.06;-11.26;1.8;UNDEFINED;UNDEFINED;99.92;UNDEFINED
2014.02.17 11:35:00;3665.75;3666.5;3665.5;3666.25;39;3665.3;3664.88;3666.59;3663.67;3661.68;0;3665.52;3665.5;3665.51;3664.11;3662.35;3660.69;55.48;61.54;40.46;UNDEFINED;0.25;0.48;-0.23;23.33;23.68;16.64;-51.61;14.89;1.77;UNDEFINED;UNDEFINED;99.93000000000001;UNDEFINED
2014.02.17 11:40:00;3666.25;3666.75;3666.25;3666.25;38;3665.75;3664.78;3666.7;3663.81;3661.75;0;3665.76;3665.63;3665.58;3664.19;3662.43;3660.75;55.48;74.14;40.38;UNDEFINED;0.29;0.37;-0.08;24.31;27.19;14.42;-51.61;23.81;1.63;UNDEFINED;UNDEFINED;99.94;UNDEFINED
